
Trained 200 at 57.62289071083069 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.899', '1.561', '0.314']
Trained 364 at 5846.135397195816 seconds for [10000, 10000, 1293] epochs and to a loss of ['0.412', '0.547', '0.2']
Trained 368 at 5880.591566562653 seconds for [10000, 10000, 1193] epochs and to a loss of ['0.411', '0.547', '0.2']
Trained 372 at 5914.723932266235 seconds for [10000, 10000, 1108] epochs and to a loss of ['0.404', '0.547', '0.2']
Trained 376 at 5948.900892496109 seconds for [10000, 10000, 1065] epochs and to a loss of ['0.396', '0.548', '0.2']
Trained 380 at 5984.632287502289 seconds for [10000, 10000, 1077] epochs and to a loss of ['0.395', '0.549', '0.2']
Trained 384 at 6018.853196620941 seconds for [10000, 10000, 1036] epochs and to a loss of ['0.395', '0.549', '0.2']
Trained 388 at 6052.966203212738 seconds for [10000, 10000, 984] epochs and to a loss of ['0.395', '0.55', '0.2']
Trained 392 at 6087.138660430908 seconds for [10000, 10000, 994] epochs and to a loss of ['0.395', '0.55', '0.2']
Trained 396 at 6121.314530134201 seconds for [10000, 10000, 970] epochs and to a loss of ['0.395', '0.55', '0.2']
Trained 400 at 6155.310472488403 seconds for [10000, 10000, 976] epochs and to a loss of ['0.395', '0.55', '0.2']
Trained 404 at 6189.285774946213 seconds for [10000, 10000, 975] epochs and to a loss of ['0.395', '0.549', '0.2']
Trained 408 at 6223.263889312744 seconds for [10000, 10000, 971] epochs and to a loss of ['0.395', '0.547', '0.2']
Trained 412 at 6257.286210298538 seconds for [10000, 10000, 995] epochs and to a loss of ['0.395', '0.546', '0.2']
Trained 416 at 6291.591556072235 seconds for [10000, 10000, 1016] epochs and to a loss of ['0.394', '0.545', '0.2']
Trained 420 at 6325.681850671768 seconds for [10000, 10000, 1015] epochs and to a loss of ['0.392', '0.544', '0.2']
Trained 424 at 6359.636564254761 seconds for [10000, 10000, 993] epochs and to a loss of ['0.39', '0.543', '0.2']
Trained 428 at 6393.531489133835 seconds for [10000, 10000, 950] epochs and to a loss of ['0.388', '0.542', '0.2']
Trained 432 at 6427.312092065811 seconds for [10000, 10000, 902] epochs and to a loss of ['0.381', '0.542', '0.2']
Trained 436 at 6446.05752658844 seconds for [730, 10000, 843] epochs and to a loss of ['0.199', '0.542', '0.2']
Trained 440 at 6463.894892454147 seconds for [264, 10000, 756] epochs and to a loss of ['0.2', '0.541', '0.2']
Trained 444 at 6482.040397882462 seconds for [515, 10000, 673] epochs and to a loss of ['0.2', '0.541', '0.2']
Trained 448 at 6500.174457788467 seconds for [589, 10000, 575] epochs and to a loss of ['0.2', '0.541', '0.2']
Trained 452 at 6518.2099006175995 seconds for [602, 10000, 575] epochs and to a loss of ['0.2', '0.541', '0.2']
Trained 456 at 6536.415855884552 seconds for [588, 10000, 583] epochs and to a loss of ['0.2', '0.54', '0.2']
Trained 460 at 6554.7713577747345 seconds for [574, 10000, 614] epochs and to a loss of ['0.2', '0.541', '0.2']
Trained 464 at 6572.925011873245 seconds for [578, 10000, 651] epochs and to a loss of ['0.2', '0.541', '0.2']
Trained 468 at 6591.116564512253 seconds for [573, 10000, 683] epochs and to a loss of ['0.2', '0.54', '0.2']
Trained 472 at 6609.545906543732 seconds for [613, 10000, 737] epochs and to a loss of ['0.2', '0.54', '0.2']
Trained 476 at 6628.008350610733 seconds for [626, 10000, 793] epochs and to a loss of ['0.2', '0.54', '0.2']
Trained 480 at 6646.577583789825 seconds for [645, 10000, 836] epochs and to a loss of ['0.2', '0.539', '0.2']
Trained 484 at 6665.306942224503 seconds for [651, 10000, 882] epochs and to a loss of ['0.2', '0.54', '0.2']
Trained 488 at 6683.92284822464 seconds for [639, 10000, 890] epochs and to a loss of ['0.2', '0.54', '0.2']
Trained 492 at 6702.555569887161 seconds for [634, 10000, 895] epochs and to a loss of ['0.2', '0.54', '0.2']
Trained 496 at 6721.241142749786 seconds for [634, 10000, 906] epochs and to a loss of ['0.2', '0.54', '0.2']
Trained 500 at 6739.879775285721 seconds for [631, 10000, 896] epochs and to a loss of ['0.2', '0.367', '0.2']
Trained 504 at 6758.602969884872 seconds for [636, 10000, 881] epochs and to a loss of ['0.2', '0.367', '0.2']
Trained 508 at 6777.240881204605 seconds for [636, 10000, 862] epochs and to a loss of ['0.2', '0.367', '0.2']
Trained 512 at 6795.679513931274 seconds for [629, 10000, 819] epochs and to a loss of ['0.2', '0.366', '0.2']
Trained 516 at 6814.220206022263 seconds for [684, 10000, 746] epochs and to a loss of ['0.2', '0.365', '0.2']
Trained 520 at 6832.904487371445 seconds for [775, 10000, 710] epochs and to a loss of ['0.2', '0.363', '0.2']
Trained 524 at 6851.48482131958 seconds for [798, 10000, 701] epochs and to a loss of ['0.2', '0.363', '0.2']
Trained 528 at 6870.475422620773 seconds for [790, 10000, 707] epochs and to a loss of ['0.2', '0.363', '0.2']
Trained 532 at 6889.074458599091 seconds for [761, 10000, 716] epochs and to a loss of ['0.2', '0.363', '0.2']
Trained 536 at 6907.573926925659 seconds for [735, 10000, 721] epochs and to a loss of ['0.2', '0.363', '0.2']
Trained 540 at 6926.008841753006 seconds for [693, 10000, 726] epochs and to a loss of ['0.2', '0.363', '0.2']
Trained 544 at 6944.761007070541 seconds for [678, 10000, 733] epochs and to a loss of ['0.2', '0.363', '0.2']
Trained 548 at 6963.348323106766 seconds for [647, 10000, 763] epochs and to a loss of ['0.2', '0.364', '0.2']
Trained 552 at 6982.100501298904 seconds for [703, 10000, 838] epochs and to a loss of ['0.2', '0.364', '0.2']
Trained 556 at 7001.287153244019 seconds for [714, 10000, 1100] epochs and to a loss of ['0.2', '0.365', '0.2']
Trained 560 at 7021.403812885284 seconds for [699, 10000, 1623] epochs and to a loss of ['0.2', '0.366', '0.2']
Trained 564 at 7041.574372053146 seconds for [694, 10000, 1767] epochs and to a loss of ['0.2', '0.365', '0.2']
Trained 568 at 7062.616827726364 seconds for [683, 10000, 2178] epochs and to a loss of ['0.2', '0.364', '0.2']
Trained 572 at 7084.336475133896 seconds for [668, 10000, 2689] epochs and to a loss of ['0.2', '0.363', '0.2']
Trained 576 at 7106.5094656944275 seconds for [663, 10000, 2991] epochs and to a loss of ['0.2', '0.362', '0.2']
Trained 580 at 7130.878852367401 seconds for [667, 10000, 4279] epochs and to a loss of ['0.2', '0.361', '0.2']
Trained 584 at 7154.79759812355 seconds for [677, 10000, 4040] epochs and to a loss of ['0.2', '0.361', '0.2']
Trained 588 at 7177.295041799545 seconds for [668, 10000, 3214] epochs and to a loss of ['0.2', '0.361', '0.2']
Trained 592 at 7198.984206914902 seconds for [648, 10000, 2688] epochs and to a loss of ['0.2', '0.362', '0.2']
Trained 596 at 7219.929019212723 seconds for [665, 10000, 2209] epochs and to a loss of ['0.2', '0.362', '0.2']
Trained 600 at 7240.778595685959 seconds for [725, 10000, 1997] epochs and to a loss of ['0.2', '0.362', '0.2']
Trained 200 at 7290.3039338588715 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.779', '1.281', '1.593']
Trained 204 at 7338.267162799835 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.649', '1.172', '1.48']
Trained 208 at 7385.804909944534 seconds for [9939, 10000, 10000] epochs and to a loss of ['0.2', '1.15', '1.452']
Trained 212 at 7417.750338792801 seconds for [335, 10000, 10000] epochs and to a loss of ['0.2', '1.139', '1.442']
Trained 216 at 7449.801519155502 seconds for [448, 10000, 10000] epochs and to a loss of ['0.2', '1.133', '1.437']
Trained 220 at 7482.165618419647 seconds for [562, 10000, 10000] epochs and to a loss of ['0.2', '1.129', '1.435']
Trained 224 at 7514.9834856987 seconds for [714, 10000, 10000] epochs and to a loss of ['0.2', '1.123', '1.431']
Trained 228 at 7548.158658027649 seconds for [839, 10000, 10000] epochs and to a loss of ['0.2', '1.122', '1.419']
Trained 232 at 7581.309514045715 seconds for [919, 10000, 10000] epochs and to a loss of ['0.2', '1.123', '1.412']
Trained 236 at 7614.629124403 seconds for [964, 10000, 10000] epochs and to a loss of ['0.2', '1.123', '1.411']
Trained 240 at 7648.037797451019 seconds for [979, 10000, 10000] epochs and to a loss of ['0.2', '1.124', '1.41']
Trained 244 at 7681.475250720978 seconds for [1010, 10000, 10000] epochs and to a loss of ['0.2', '1.126', '1.41']
Trained 248 at 7714.843269109726 seconds for [1087, 10000, 10000] epochs and to a loss of ['0.2', '1.129', '1.41']
Trained 252 at 7748.423200368881 seconds for [1190, 10000, 10000] epochs and to a loss of ['0.2', '1.131', '1.41']
Trained 256 at 7782.417058229446 seconds for [1342, 10000, 10000] epochs and to a loss of ['0.2', '1.133', '1.41']
Trained 260 at 7816.50373673439 seconds for [1544, 10000, 10000] epochs and to a loss of ['0.2', '1.135', '1.405']
Trained 264 at 7851.81290268898 seconds for [1756, 10000, 10000] epochs and to a loss of ['0.2', '1.138', '1.403']
Trained 268 at 7887.436518907547 seconds for [2011, 10000, 10000] epochs and to a loss of ['0.2', '1.14', '1.402']
Trained 272 at 7923.4895923137665 seconds for [2160, 10000, 10000] epochs and to a loss of ['0.2', '1.142', '1.177']
Trained 276 at 7959.657858133316 seconds for [2279, 10000, 10000] epochs and to a loss of ['0.2', '1.142', '1.079']
Trained 280 at 7995.997798681259 seconds for [2401, 10000, 10000] epochs and to a loss of ['0.2', '1.142', '1.075']
Trained 284 at 8032.389718770981 seconds for [2441, 10000, 10000] epochs and to a loss of ['0.2', '1.139', '1.073']
Trained 288 at 8068.931887626648 seconds for [2515, 10000, 10000] epochs and to a loss of ['0.2', '1.137', '1.072']
Trained 292 at 8105.551066637039 seconds for [2519, 10000, 10000] epochs and to a loss of ['0.2', '1.126', '1.071']
Trained 296 at 8142.219681024551 seconds for [2573, 10000, 10000] epochs and to a loss of ['0.2', '1.12', '1.071']
Trained 300 at 8179.484538793564 seconds for [2746, 10000, 10000] epochs and to a loss of ['0.2', '1.117', '1.071']
Trained 304 at 8216.755235433578 seconds for [2841, 10000, 10000] epochs and to a loss of ['0.2', '1.115', '0.741']
Trained 308 at 8254.103656768799 seconds for [2918, 10000, 10000] epochs and to a loss of ['0.2', '1.103', '0.731']
Trained 312 at 8292.229256153107 seconds for [3013, 10000, 10000] epochs and to a loss of ['0.2', '1.106', '0.727']
Trained 316 at 8342.871652841568 seconds for [3094, 10000, 10000] epochs and to a loss of ['0.2', '1.107', '0.72']
Trained 320 at 8391.342099666595 seconds for [3166, 10000, 10000] epochs and to a loss of ['0.2', '1.089', '0.719']
Trained 324 at 8439.796584367752 seconds for [3102, 10000, 10000] epochs and to a loss of ['0.2', '1.086', '0.719']
Trained 328 at 8488.172086000443 seconds for [3089, 10000, 10000] epochs and to a loss of ['0.2', '1.07', '0.721']
Trained 332 at 8536.197949647903 seconds for [3183, 10000, 10000] epochs and to a loss of ['0.2', '1.065', '0.723']
Trained 336 at 8584.912131547928 seconds for [3445, 10000, 10000] epochs and to a loss of ['0.2', '1.061', '0.726']
Trained 340 at 8634.044810295105 seconds for [3599, 10000, 10000] epochs and to a loss of ['0.2', '1.058', '0.724']
Trained 344 at 8683.569152355194 seconds for [3707, 10000, 10000] epochs and to a loss of ['0.2', '1.055', '0.723']
Trained 348 at 8732.86424779892 seconds for [3764, 10000, 10000] epochs and to a loss of ['0.2', '1.053', '0.719']
Trained 352 at 8782.710695505142 seconds for [3871, 10000, 10000] epochs and to a loss of ['0.2', '1.052', '0.718']
Trained 356 at 8832.636185884476 seconds for [3833, 10000, 10000] epochs and to a loss of ['0.2', '1.051', '0.718']
Trained 360 at 8876.406193494797 seconds for [3360, 10000, 10000] epochs and to a loss of ['0.2', '0.735', '0.719']
Trained 364 at 8917.730589389801 seconds for [2664, 10000, 10000] epochs and to a loss of ['0.2', '0.394', '0.721']
Trained 368 at 8958.089000940323 seconds for [2051, 10000, 10000] epochs and to a loss of ['0.2', '0.39', '0.721']
Trained 372 at 8999.601326227188 seconds for [1692, 10000, 10000] epochs and to a loss of ['0.2', '0.39', '0.723']
Trained 376 at 9036.715326786041 seconds for [1413, 10000, 10000] epochs and to a loss of ['0.2', '0.389', '0.722']
Trained 380 at 9073.928238153458 seconds for [1269, 10000, 10000] epochs and to a loss of ['0.2', '0.389', '0.722']
Trained 384 at 9111.179664850235 seconds for [1215, 10000, 10000] epochs and to a loss of ['0.2', '0.388', '0.721']
Trained 388 at 9148.760275363922 seconds for [1211, 10000, 10000] epochs and to a loss of ['0.2', '0.388', '0.721']
Trained 392 at 9186.063230276108 seconds for [1230, 10000, 10000] epochs and to a loss of ['0.2', '0.388', '0.722']
Trained 396 at 9225.073575735092 seconds for [1196, 10000, 10000] epochs and to a loss of ['0.2', '0.388', '0.721']
Trained 400 at 9262.496352672577 seconds for [1156, 10000, 10000] epochs and to a loss of ['0.2', '0.388', '0.72']
Trained 404 at 9300.275576353073 seconds for [1027, 10000, 10000] epochs and to a loss of ['0.2', '0.388', '0.719']
Trained 408 at 9341.792299985886 seconds for [941, 10000, 10000] epochs and to a loss of ['0.2', '0.388', '0.718']
Trained 412 at 9384.444013595581 seconds for [1103, 10000, 10000] epochs and to a loss of ['0.2', '0.388', '0.717']
Trained 416 at 9422.673946619034 seconds for [1153, 10000, 10000] epochs and to a loss of ['0.2', '0.387', '0.715']
Trained 420 at 9461.421814203262 seconds for [1145, 10000, 10000] epochs and to a loss of ['0.2', '0.387', '0.713']
Trained 424 at 9499.112226486206 seconds for [1139, 10000, 10000] epochs and to a loss of ['0.2', '0.386', '0.711']
Trained 428 at 9536.830837488174 seconds for [1142, 10000, 10000] epochs and to a loss of ['0.2', '0.383', '0.71']
Trained 432 at 9576.226647853851 seconds for [1136, 10000, 10000] epochs and to a loss of ['0.2', '0.379', '0.702']
Trained 436 at 9617.53193950653 seconds for [1126, 10000, 10000] epochs and to a loss of ['0.2', '0.379', '0.701']
Trained 440 at 9655.538528442383 seconds for [1085, 10000, 10000] epochs and to a loss of ['0.2', '0.379', '0.701']
Trained 444 at 9693.223489522934 seconds for [1094, 10000, 10000] epochs and to a loss of ['0.2', '0.379', '0.701']
Trained 448 at 9730.682846784592 seconds for [1115, 10000, 10000] epochs and to a loss of ['0.2', '0.379', '0.701']
Trained 452 at 9768.5161755085 seconds for [1118, 10000, 10000] epochs and to a loss of ['0.2', '0.379', '0.701']
Trained 456 at 9805.658262968063 seconds for [1075, 10000, 10000] epochs and to a loss of ['0.2', '0.38', '0.701']
Trained 460 at 9843.376068592072 seconds for [1114, 10000, 10000] epochs and to a loss of ['0.2', '0.38', '0.701']
Trained 464 at 9880.964094400406 seconds for [1282, 10000, 10000] epochs and to a loss of ['0.2', '0.379', '0.7']
Trained 468 at 9919.024301290512 seconds for [1431, 10000, 10000] epochs and to a loss of ['0.2', '0.372', '0.7']
Trained 472 at 9957.923110723495 seconds for [1566, 10000, 10000] epochs and to a loss of ['0.2', '0.372', '0.699']
Trained 476 at 9997.94091129303 seconds for [1712, 10000, 10000] epochs and to a loss of ['0.2', '0.372', '0.698']
Trained 480 at 10036.906307697296 seconds for [1867, 10000, 10000] epochs and to a loss of ['0.2', '0.371', '0.698']
Trained 484 at 10076.24711561203 seconds for [1984, 10000, 10000] epochs and to a loss of ['0.2', '0.371', '0.697']
Trained 488 at 10115.490881204605 seconds for [2023, 10000, 10000] epochs and to a loss of ['0.2', '0.366', '0.697']
Trained 492 at 10154.534160614014 seconds for [1934, 10000, 10000] epochs and to a loss of ['0.2', '0.365', '0.697']
Trained 496 at 10193.835161209106 seconds for [2162, 10000, 10000] epochs and to a loss of ['0.2', '0.366', '0.697']
Trained 500 at 10233.426848888397 seconds for [2211, 10000, 10000] epochs and to a loss of ['0.2', '0.366', '0.697']
Trained 504 at 10273.516285657883 seconds for [2313, 10000, 10000] epochs and to a loss of ['0.2', '0.366', '0.698']
Trained 508 at 10313.412192344666 seconds for [2434, 10000, 10000] epochs and to a loss of ['0.2', '0.366', '0.694']
Trained 512 at 10353.657926797867 seconds for [2501, 10000, 10000] epochs and to a loss of ['0.2', '0.365', '0.696']
Trained 516 at 10382.82837677002 seconds for [2466, 3940, 10000] epochs and to a loss of ['0.2', '0.199', '0.696']
Trained 520 at 10405.377039670944 seconds for [2391, 141, 10000] epochs and to a loss of ['0.2', '0.2', '0.696']
Trained 524 at 10427.717217445374 seconds for [2255, 189, 10000] epochs and to a loss of ['0.2', '0.199', '0.695']
Trained 528 at 10449.92685675621 seconds for [2071, 232, 10000] epochs and to a loss of ['0.2', '0.2', '0.696']
Trained 532 at 10471.838315725327 seconds for [1884, 285, 10000] epochs and to a loss of ['0.2', '0.2', '0.696']
Trained 536 at 10493.447255373001 seconds for [1685, 355, 10000] epochs and to a loss of ['0.2', '0.2', '0.696']
Trained 540 at 10514.947204113007 seconds for [1513, 388, 10000] epochs and to a loss of ['0.2', '0.2', '0.697']
Trained 544 at 10535.912054777145 seconds for [1289, 404, 10000] epochs and to a loss of ['0.2', '0.2', '0.696']
Trained 548 at 10556.600633144379 seconds for [1044, 436, 10000] epochs and to a loss of ['0.2', '0.2', '0.696']
Trained 552 at 10576.836588144302 seconds for [800, 477, 10000] epochs and to a loss of ['0.2', '0.2', '0.695']
Trained 556 at 10596.96231842041 seconds for [615, 483, 10000] epochs and to a loss of ['0.2', '0.2', '0.366']
Trained 560 at 10616.819128274918 seconds for [470, 480, 10000] epochs and to a loss of ['0.2', '0.2', '0.366']
Trained 564 at 10636.449018716812 seconds for [404, 477, 10000] epochs and to a loss of ['0.2', '0.2', '0.366']
Trained 568 at 10655.93032002449 seconds for [422, 485, 10000] epochs and to a loss of ['0.2', '0.2', '0.366']
Trained 572 at 10675.530497789383 seconds for [436, 490, 10000] epochs and to a loss of ['0.2', '0.2', '0.366']
Trained 576 at 10694.865876197815 seconds for [445, 496, 10000] epochs and to a loss of ['0.2', '0.2', '0.367']
Trained 580 at 10714.293194532394 seconds for [507, 498, 10000] epochs and to a loss of ['0.2', '0.2', '0.369']
Trained 584 at 10733.943882703781 seconds for [576, 493, 10000] epochs and to a loss of ['0.2', '0.2', '0.371']
Trained 588 at 10753.768508195877 seconds for [641, 491, 10000] epochs and to a loss of ['0.2', '0.2', '0.373']
Trained 592 at 10773.479047060013 seconds for [679, 476, 10000] epochs and to a loss of ['0.2', '0.2', '0.373']
Trained 596 at 10793.328588962555 seconds for [707, 470, 10000] epochs and to a loss of ['0.2', '0.2', '0.373']
Trained 600 at 10813.230944633484 seconds for [730, 461, 10000] epochs and to a loss of ['0.2', '0.2', '0.373']
Trained 200 at 10868.376727342606 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.485', '0.834', '0.804']
Trained 204 at 10922.746685504913 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.415', '0.782', '0.754']
Trained 208 at 10967.896283388138 seconds for [5111, 10000, 10000] epochs and to a loss of ['0.2', '0.768', '0.74']
Trained 212 at 11004.291997432709 seconds for [185, 10000, 10000] epochs and to a loss of ['0.2', '0.759', '0.732']
Trained 216 at 11041.14023065567 seconds for [272, 10000, 10000] epochs and to a loss of ['0.2', '0.749', '0.73']
Trained 220 at 11077.764488697052 seconds for [335, 10000, 10000] epochs and to a loss of ['0.2', '0.743', '0.729']
Trained 224 at 11114.557110786438 seconds for [388, 10000, 10000] epochs and to a loss of ['0.2', '0.741', '0.722']
Trained 228 at 11151.314969062805 seconds for [441, 10000, 10000] epochs and to a loss of ['0.2', '0.74', '0.718']
Trained 232 at 11188.283895254135 seconds for [470, 10000, 10000] epochs and to a loss of ['0.2', '0.739', '0.715']
Trained 236 at 11225.116937875748 seconds for [513, 10000, 10000] epochs and to a loss of ['0.2', '0.738', '0.715']
Trained 240 at 11261.92059135437 seconds for [578, 10000, 10000] epochs and to a loss of ['0.2', '0.738', '0.716']
Trained 244 at 11299.056937217712 seconds for [630, 10000, 10000] epochs and to a loss of ['0.2', '0.736', '0.717']
Trained 248 at 11336.84171462059 seconds for [704, 10000, 10000] epochs and to a loss of ['0.2', '0.73', '0.717']
Trained 252 at 11374.340835571289 seconds for [780, 10000, 10000] epochs and to a loss of ['0.2', '0.73', '0.718']
Trained 256 at 11411.734800815582 seconds for [878, 10000, 10000] epochs and to a loss of ['0.2', '0.73', '0.718']
Trained 260 at 11450.461908578873 seconds for [1018, 10000, 10000] epochs and to a loss of ['0.2', '0.73', '0.719']
Trained 264 at 11488.88230729103 seconds for [1211, 10000, 10000] epochs and to a loss of ['0.2', '0.73', '0.713']
Trained 268 at 11527.69516134262 seconds for [1410, 10000, 10000] epochs and to a loss of ['0.2', '0.73', '0.715']
Trained 272 at 11566.645730018616 seconds for [1563, 10000, 10000] epochs and to a loss of ['0.2', '0.73', '0.717']
Trained 276 at 11605.57375741005 seconds for [1711, 10000, 10000] epochs and to a loss of ['0.2', '0.731', '0.719']
Trained 280 at 11644.65099143982 seconds for [1811, 10000, 10000] epochs and to a loss of ['0.2', '0.729', '0.722']
Trained 284 at 11683.860301971436 seconds for [1773, 10000, 10000] epochs and to a loss of ['0.2', '0.726', '0.725']
Trained 288 at 11722.75259566307 seconds for [1717, 10000, 10000] epochs and to a loss of ['0.2', '0.727', '0.728']
Trained 292 at 11761.698878765106 seconds for [1711, 10000, 10000] epochs and to a loss of ['0.2', '0.729', '0.73']
Trained 296 at 11800.564894199371 seconds for [1690, 10000, 10000] epochs and to a loss of ['0.2', '0.731', '0.73']
Trained 300 at 11839.572966814041 seconds for [1638, 10000, 10000] epochs and to a loss of ['0.2', '0.734', '0.409']
Trained 304 at 11878.402873277664 seconds for [1576, 10000, 10000] epochs and to a loss of ['0.2', '0.737', '0.403']
Trained 308 at 11916.34819817543 seconds for [1479, 10000, 10000] epochs and to a loss of ['0.2', '0.741', '0.389']
Trained 312 at 11954.132863521576 seconds for [1442, 10000, 10000] epochs and to a loss of ['0.2', '0.744', '0.385']
Trained 316 at 11991.980242490768 seconds for [1386, 10000, 10000] epochs and to a loss of ['0.2', '0.429', '0.382']
Trained 320 at 12029.704977989197 seconds for [1374, 10000, 10000] epochs and to a loss of ['0.2', '0.429', '0.38']
Trained 324 at 12067.662260055542 seconds for [1391, 10000, 10000] epochs and to a loss of ['0.2', '0.427', '0.378']
Trained 328 at 12105.384166955948 seconds for [1384, 10000, 10000] epochs and to a loss of ['0.2', '0.425', '0.376']
Trained 332 at 12143.241907596588 seconds for [1398, 10000, 10000] epochs and to a loss of ['0.2', '0.431', '0.374']
Trained 336 at 12181.325125217438 seconds for [1461, 10000, 10000] epochs and to a loss of ['0.2', '0.438', '0.373']
Trained 340 at 12219.695563316345 seconds for [1517, 10000, 10000] epochs and to a loss of ['0.2', '0.446', '0.373']
Trained 344 at 12258.525333404541 seconds for [1593, 10000, 10000] epochs and to a loss of ['0.2', '0.453', '0.372']
Trained 348 at 12297.0801217556 seconds for [1622, 10000, 10000] epochs and to a loss of ['0.2', '0.458', '0.371']
Trained 352 at 12335.333096504211 seconds for [1575, 10000, 10000] epochs and to a loss of ['0.2', '0.46', '0.371']
Trained 356 at 12373.494128227234 seconds for [1521, 10000, 10000] epochs and to a loss of ['0.2', '0.45', '0.366']
Trained 360 at 12411.631266832352 seconds for [1472, 10000, 10000] epochs and to a loss of ['0.2', '0.44', '0.361']
Trained 364 at 12450.168725967407 seconds for [1467, 10000, 10000] epochs and to a loss of ['0.2', '0.432', '0.358']
Trained 368 at 12488.275854587555 seconds for [1458, 10000, 10000] epochs and to a loss of ['0.2', '0.425', '0.357']
Trained 372 at 12525.869161367416 seconds for [1430, 10000, 10000] epochs and to a loss of ['0.2', '0.419', '0.357']
Trained 376 at 12563.337515830994 seconds for [1383, 10000, 10000] epochs and to a loss of ['0.2', '0.414', '0.357']
Trained 380 at 12600.700639724731 seconds for [1323, 10000, 10000] epochs and to a loss of ['0.2', '0.411', '0.354']
Trained 384 at 12638.074905395508 seconds for [1237, 10000, 10000] epochs and to a loss of ['0.2', '0.409', '0.351']
Trained 388 at 12675.531018257141 seconds for [1156, 10000, 10000] epochs and to a loss of ['0.2', '0.406', '0.35']
Trained 392 at 12712.414262533188 seconds for [1063, 10000, 10000] epochs and to a loss of ['0.2', '0.405', '0.351']
Trained 396 at 12749.497388601303 seconds for [994, 10000, 10000] epochs and to a loss of ['0.2', '0.404', '0.351']
Trained 400 at 12786.516254663467 seconds for [927, 10000, 10000] epochs and to a loss of ['0.2', '0.402', '0.351']
Trained 404 at 12823.638199090958 seconds for [857, 10000, 10000] epochs and to a loss of ['0.2', '0.402', '0.35']
Trained 408 at 12849.92563199997 seconds for [767, 10000, 4093] epochs and to a loss of ['0.2', '0.401', '0.199']
Trained 412 at 12869.151889324188 seconds for [700, 10000, 160] epochs and to a loss of ['0.2', '0.4', '0.2']
Trained 416 at 12888.82433438301 seconds for [677, 10000, 414] epochs and to a loss of ['0.2', '0.4', '0.2']
Trained 420 at 12909.36272740364 seconds for [659, 10000, 842] epochs and to a loss of ['0.2', '0.399', '0.2']
Trained 424 at 12930.2989590168 seconds for [650, 10000, 1082] epochs and to a loss of ['0.2', '0.399', '0.2']
Trained 428 at 12951.438262939453 seconds for [636, 10000, 1218] epochs and to a loss of ['0.2', '0.399', '0.2']
Trained 432 at 12972.468291521072 seconds for [605, 10000, 1285] epochs and to a loss of ['0.2', '0.398', '0.2']
Trained 436 at 12993.563377857208 seconds for [593, 10000, 1389] epochs and to a loss of ['0.2', '0.398', '0.2']
Trained 440 at 13014.816343545914 seconds for [569, 10000, 1463] epochs and to a loss of ['0.2', '0.398', '0.2']
Trained 444 at 13035.276845932007 seconds for [554, 10000, 1516] epochs and to a loss of ['0.2', '0.397', '0.2']
Trained 448 at 13055.894925355911 seconds for [537, 10000, 1593] epochs and to a loss of ['0.199', '0.396', '0.2']
Trained 452 at 13076.535267591476 seconds for [517, 10000, 1626] epochs and to a loss of ['0.2', '0.395', '0.2']
Trained 456 at 13097.275511980057 seconds for [535, 10000, 1624] epochs and to a loss of ['0.2', '0.393', '0.2']
Trained 460 at 13117.94438958168 seconds for [574, 10000, 1558] epochs and to a loss of ['0.2', '0.388', '0.2']
Trained 464 at 13138.693020105362 seconds for [636, 10000, 1490] epochs and to a loss of ['0.2', '0.387', '0.2']
Trained 468 at 13159.234889745712 seconds for [660, 10000, 1336] epochs and to a loss of ['0.2', '0.387', '0.2']
Trained 472 at 13180.716807365417 seconds for [792, 10000, 1254] epochs and to a loss of ['0.2', '0.388', '0.2']
Trained 476 at 13201.406352043152 seconds for [879, 10000, 1180] epochs and to a loss of ['0.2', '0.388', '0.2']
Trained 480 at 13221.926176071167 seconds for [859, 10000, 1118] epochs and to a loss of ['0.2', '0.389', '0.2']
Trained 484 at 13242.397446155548 seconds for [914, 10000, 1066] epochs and to a loss of ['0.2', '0.39', '0.2']
Trained 488 at 13262.66300201416 seconds for [835, 10000, 1030] epochs and to a loss of ['0.2', '0.391', '0.2']
Trained 492 at 13282.705880403519 seconds for [865, 10000, 1006] epochs and to a loss of ['0.2', '0.391', '0.2']
Trained 496 at 13302.710928678513 seconds for [862, 10000, 965] epochs and to a loss of ['0.2', '0.391', '0.2']
Trained 500 at 13322.719157218933 seconds for [892, 10000, 896] epochs and to a loss of ['0.2', '0.39', '0.2']
Trained 504 at 13342.543872117996 seconds for [925, 10000, 828] epochs and to a loss of ['0.2', '0.389', '0.2']
Trained 508 at 13362.257816076279 seconds for [953, 10000, 747] epochs and to a loss of ['0.2', '0.389', '0.2']
Trained 512 at 13382.088593244553 seconds for [1083, 10000, 650] epochs and to a loss of ['0.2', '0.388', '0.2']
Trained 516 at 13401.91295003891 seconds for [1171, 10000, 564] epochs and to a loss of ['0.2', '0.388', '0.2']
Trained 520 at 13421.828198671341 seconds for [1143, 10000, 632] epochs and to a loss of ['0.2', '0.388', '0.2']
Trained 524 at 13440.170225858688 seconds for [1077, 9069, 637] epochs and to a loss of ['0.2', '0.199', '0.2']
