
Trained 200 at 43.88611674308777 seconds for [10000, 3675, 10000] epochs and to a loss of ['0.792', '0.2', '0.413']
Trained 368 at 6159.4763350486755 seconds for [281, 10000, 10000] epochs and to a loss of ['0.2', '0.88', '0.382']
Trained 372 at 6190.769419431686 seconds for [300, 10000, 10000] epochs and to a loss of ['0.2', '0.88', '0.382']
Trained 376 at 6221.906150341034 seconds for [315, 10000, 10000] epochs and to a loss of ['0.2', '0.881', '0.382']
Trained 380 at 6253.0858952999115 seconds for [326, 10000, 10000] epochs and to a loss of ['0.2', '0.881', '0.382']
Trained 384 at 6284.38768863678 seconds for [339, 10000, 10000] epochs and to a loss of ['0.2', '0.881', '0.382']
Trained 388 at 6315.67410492897 seconds for [347, 10000, 10000] epochs and to a loss of ['0.2', '0.88', '0.382']
Trained 392 at 6347.215372085571 seconds for [353, 10000, 10000] epochs and to a loss of ['0.2', '0.879', '0.382']
Trained 396 at 6378.51389169693 seconds for [359, 10000, 10000] epochs and to a loss of ['0.2', '0.873', '0.382']
Trained 400 at 6410.100645780563 seconds for [363, 10000, 10000] epochs and to a loss of ['0.2', '0.871', '0.382']
Trained 404 at 6441.33224105835 seconds for [364, 10000, 10000] epochs and to a loss of ['0.2', '0.871', '0.383']
Trained 408 at 6472.66134428978 seconds for [363, 10000, 10000] epochs and to a loss of ['0.2', '0.871', '0.382']
Trained 412 at 6503.9318697452545 seconds for [337, 10000, 10000] epochs and to a loss of ['0.2', '0.871', '0.382']
Trained 416 at 6535.179154157639 seconds for [349, 10000, 10000] epochs and to a loss of ['0.2', '0.872', '0.382']
Trained 420 at 6566.426533460617 seconds for [345, 10000, 10000] epochs and to a loss of ['0.2', '0.874', '0.381']
Trained 424 at 6597.585107564926 seconds for [338, 10000, 10000] epochs and to a loss of ['0.2', '0.875', '0.377']
Trained 428 at 6628.788648843765 seconds for [327, 10000, 10000] epochs and to a loss of ['0.2', '0.877', '0.366']
Trained 432 at 6660.054730892181 seconds for [326, 10000, 10000] epochs and to a loss of ['0.2', '0.882', '0.365']
Trained 436 at 6691.33780503273 seconds for [323, 10000, 10000] epochs and to a loss of ['0.2', '0.885', '0.366']
Trained 440 at 6722.589893579483 seconds for [336, 10000, 10000] epochs and to a loss of ['0.2', '0.888', '0.365']
Trained 444 at 6753.858529090881 seconds for [362, 10000, 10000] epochs and to a loss of ['0.2', '0.891', '0.365']
Trained 448 at 6785.224923849106 seconds for [388, 10000, 10000] epochs and to a loss of ['0.2', '0.895', '0.365']
Trained 452 at 6816.67896437645 seconds for [406, 10000, 10000] epochs and to a loss of ['0.2', '0.9', '0.364']
Trained 456 at 6848.09187746048 seconds for [423, 10000, 10000] epochs and to a loss of ['0.2', '0.906', '0.364']
Trained 460 at 6879.600829124451 seconds for [431, 10000, 10000] epochs and to a loss of ['0.199', '0.912', '0.362']
Trained 464 at 6910.905144691467 seconds for [430, 10000, 10000] epochs and to a loss of ['0.2', '0.913', '0.361']
Trained 468 at 6942.279475688934 seconds for [433, 10000, 10000] epochs and to a loss of ['0.2', '0.904', '0.36']
Trained 472 at 6974.131234407425 seconds for [428, 10000, 10000] epochs and to a loss of ['0.2', '0.728', '0.361']
Trained 476 at 7005.61841750145 seconds for [413, 10000, 10000] epochs and to a loss of ['0.2', '0.724', '0.361']
Trained 480 at 7037.089145898819 seconds for [410, 10000, 10000] epochs and to a loss of ['0.2', '0.721', '0.361']
Trained 484 at 7068.571188211441 seconds for [406, 10000, 10000] epochs and to a loss of ['0.2', '0.72', '0.36']
Trained 488 at 7099.8987159729 seconds for [389, 10000, 10000] epochs and to a loss of ['0.2', '0.719', '0.361']
Trained 492 at 7131.293183803558 seconds for [377, 10000, 10000] epochs and to a loss of ['0.2', '0.717', '0.361']
Trained 496 at 7162.542453527451 seconds for [382, 10000, 10000] epochs and to a loss of ['0.2', '0.717', '0.361']
Trained 500 at 7193.846668958664 seconds for [419, 10000, 10000] epochs and to a loss of ['0.2', '0.716', '0.361']
Trained 504 at 7225.239491701126 seconds for [446, 10000, 10000] epochs and to a loss of ['0.2', '0.715', '0.361']
Trained 508 at 7256.705363273621 seconds for [445, 10000, 10000] epochs and to a loss of ['0.2', '0.714', '0.362']
Trained 512 at 7288.141728878021 seconds for [459, 10000, 10000] epochs and to a loss of ['0.2', '0.713', '0.362']
Trained 516 at 7319.635447740555 seconds for [467, 10000, 10000] epochs and to a loss of ['0.2', '0.704', '0.363']
Trained 520 at 7351.17111992836 seconds for [480, 10000, 10000] epochs and to a loss of ['0.2', '0.376', '0.366']
Trained 524 at 7382.719837665558 seconds for [497, 10000, 10000] epochs and to a loss of ['0.2', '0.375', '0.368']
Trained 528 at 7414.135890960693 seconds for [519, 10000, 10000] epochs and to a loss of ['0.2', '0.375', '0.369']
Trained 532 at 7445.6322321891785 seconds for [547, 10000, 10000] epochs and to a loss of ['0.2', '0.374', '0.37']
Trained 536 at 7477.129280567169 seconds for [576, 10000, 10000] epochs and to a loss of ['0.2', '0.374', '0.372']
Trained 540 at 7508.749030351639 seconds for [603, 10000, 10000] epochs and to a loss of ['0.2', '0.374', '0.375']
Trained 544 at 7540.528359651566 seconds for [643, 10000, 10000] epochs and to a loss of ['0.2', '0.375', '0.376']
Trained 548 at 7572.359348535538 seconds for [689, 10000, 10000] epochs and to a loss of ['0.2', '0.374', '0.376']
Trained 552 at 7604.339413642883 seconds for [742, 10000, 10000] epochs and to a loss of ['0.2', '0.374', '0.376']
Trained 556 at 7636.381993055344 seconds for [790, 10000, 10000] epochs and to a loss of ['0.2', '0.374', '0.376']
Trained 560 at 7668.396597862244 seconds for [800, 10000, 10000] epochs and to a loss of ['0.2', '0.374', '0.375']
Trained 564 at 7700.444091558456 seconds for [851, 10000, 10000] epochs and to a loss of ['0.2', '0.374', '0.375']
Trained 568 at 7732.806156158447 seconds for [933, 10000, 10000] epochs and to a loss of ['0.2', '0.374', '0.374']
Trained 572 at 7765.189871311188 seconds for [1025, 10000, 10000] epochs and to a loss of ['0.2', '0.374', '0.374']
Trained 576 at 7797.7396941185 seconds for [1131, 10000, 10000] epochs and to a loss of ['0.2', '0.374', '0.374']
Trained 580 at 7830.44455075264 seconds for [1190, 10000, 10000] epochs and to a loss of ['0.2', '0.374', '0.374']
Trained 584 at 7863.360709905624 seconds for [1187, 10000, 10000] epochs and to a loss of ['0.2', '0.375', '0.373']
Trained 588 at 7895.85365653038 seconds for [1056, 10000, 10000] epochs and to a loss of ['0.2', '0.374', '0.369']
Trained 592 at 7928.065438270569 seconds for [906, 10000, 10000] epochs and to a loss of ['0.2', '0.361', '0.366']
Trained 596 at 7960.038161993027 seconds for [737, 10000, 10000] epochs and to a loss of ['0.2', '0.358', '0.365']
Trained 600 at 7991.792011976242 seconds for [635, 10000, 10000] epochs and to a loss of ['0.2', '0.352', '0.365']
Trained 200 at 8029.360182523727 seconds for [10000, 4352, 8763] epochs and to a loss of ['1.202', '0.2', '0.2']
Trained 204 at 8046.912138462067 seconds for [10000, 673, 619] epochs and to a loss of ['1.105', '0.2', '0.2']
Trained 208 at 8064.72257065773 seconds for [10000, 728, 777] epochs and to a loss of ['1.085', '0.2', '0.2']
Trained 212 at 8082.732916593552 seconds for [10000, 756, 872] epochs and to a loss of ['1.077', '0.2', '0.2']
Trained 216 at 8100.869565010071 seconds for [10000, 763, 944] epochs and to a loss of ['1.073', '0.2', '0.2']
Trained 220 at 8119.048276424408 seconds for [10000, 772, 982] epochs and to a loss of ['1.07', '0.2', '0.2']
Trained 224 at 8137.134664297104 seconds for [10000, 780, 994] epochs and to a loss of ['1.069', '0.2', '0.2']
Trained 228 at 8155.30318236351 seconds for [10000, 805, 966] epochs and to a loss of ['1.068', '0.2', '0.2']
Trained 232 at 8173.414328813553 seconds for [10000, 851, 921] epochs and to a loss of ['1.067', '0.2', '0.2']
Trained 236 at 8191.544960021973 seconds for [10000, 917, 854] epochs and to a loss of ['1.067', '0.2', '0.2']
Trained 240 at 8209.857420444489 seconds for [10000, 986, 766] epochs and to a loss of ['1.067', '0.2', '0.2']
Trained 244 at 8228.0601375103 seconds for [10000, 1065, 689] epochs and to a loss of ['1.067', '0.2', '0.2']
Trained 248 at 8246.334415197372 seconds for [10000, 1128, 625] epochs and to a loss of ['1.067', '0.2', '0.2']
Trained 252 at 8264.615233421326 seconds for [10000, 1185, 590] epochs and to a loss of ['1.067', '0.2', '0.2']
Trained 256 at 8282.888028383255 seconds for [10000, 1228, 571] epochs and to a loss of ['1.067', '0.2', '0.2']
Trained 260 at 8301.194569826126 seconds for [10000, 1233, 557] epochs and to a loss of ['1.068', '0.2', '0.2']
Trained 264 at 8319.375940799713 seconds for [10000, 1195, 530] epochs and to a loss of ['1.068', '0.2', '0.2']
Trained 268 at 8337.504658460617 seconds for [10000, 1112, 561] epochs and to a loss of ['1.069', '0.2', '0.2']
Trained 272 at 8355.470474004745 seconds for [10000, 1024, 558] epochs and to a loss of ['1.069', '0.2', '0.2']
Trained 276 at 8373.244216442108 seconds for [10000, 917, 568] epochs and to a loss of ['1.069', '0.2', '0.2']
Trained 280 at 8390.88971042633 seconds for [10000, 816, 584] epochs and to a loss of ['1.07', '0.2', '0.2']
Trained 284 at 8408.504989147186 seconds for [10000, 739, 607] epochs and to a loss of ['1.054', '0.2', '0.2']
Trained 288 at 8426.102247476578 seconds for [10000, 683, 646] epochs and to a loss of ['0.741', '0.2', '0.2']
Trained 292 at 8444.000540971756 seconds for [10000, 654, 714] epochs and to a loss of ['0.742', '0.2', '0.2']
Trained 296 at 8461.76271033287 seconds for [10000, 644, 761] epochs and to a loss of ['0.748', '0.2', '0.2']
Trained 300 at 8479.610394001007 seconds for [10000, 645, 824] epochs and to a loss of ['0.738', '0.2', '0.2']
Trained 304 at 8497.564169883728 seconds for [10000, 673, 888] epochs and to a loss of ['0.718', '0.2', '0.2']
Trained 308 at 8515.59077334404 seconds for [10000, 712, 926] epochs and to a loss of ['0.711', '0.2', '0.2']
Trained 312 at 8533.731115341187 seconds for [10000, 728, 948] epochs and to a loss of ['0.392', '0.2', '0.2']
Trained 316 at 8551.871810674667 seconds for [10000, 764, 928] epochs and to a loss of ['0.39', '0.2', '0.2']
Trained 320 at 8570.270929574966 seconds for [10000, 806, 955] epochs and to a loss of ['0.387', '0.2', '0.2']
Trained 324 at 8588.97058558464 seconds for [10000, 856, 1217] epochs and to a loss of ['0.38', '0.2', '0.2']
Trained 328 at 8608.168885469437 seconds for [10000, 934, 1394] epochs and to a loss of ['0.379', '0.2', '0.2']
Trained 332 at 8627.378450155258 seconds for [10000, 1010, 1386] epochs and to a loss of ['0.379', '0.2', '0.2']
Trained 336 at 8646.638732910156 seconds for [10000, 1058, 1309] epochs and to a loss of ['0.379', '0.2', '0.2']
Trained 340 at 8665.71559214592 seconds for [10000, 1071, 1220] epochs and to a loss of ['0.379', '0.2', '0.2']
Trained 344 at 8685.2143805027 seconds for [10000, 1120, 1412] epochs and to a loss of ['0.379', '0.2', '0.2']
Trained 348 at 8705.944049358368 seconds for [10000, 1281, 2064] epochs and to a loss of ['0.379', '0.2', '0.2']
Trained 352 at 8728.197002410889 seconds for [10000, 1361, 2555] epochs and to a loss of ['0.378', '0.2', '0.2']
Trained 356 at 8751.151134967804 seconds for [10000, 1375, 2583] epochs and to a loss of ['0.378', '0.2', '0.2']
Trained 360 at 8775.158731937408 seconds for [10000, 1304, 2645] epochs and to a loss of ['0.375', '0.2', '0.2']
Trained 364 at 8797.474675416946 seconds for [10000, 1213, 2586] epochs and to a loss of ['0.371', '0.2', '0.2']
Trained 368 at 8818.344463825226 seconds for [10000, 1161, 2261] epochs and to a loss of ['0.37', '0.2', '0.2']
Trained 372 at 8838.362935781479 seconds for [10000, 1052, 1841] epochs and to a loss of ['0.37', '0.2', '0.2']
Trained 376 at 8857.966363191605 seconds for [10000, 985, 1626] epochs and to a loss of ['0.369', '0.2', '0.2']
Trained 380 at 8876.964386463165 seconds for [10000, 928, 1289] epochs and to a loss of ['0.369', '0.2', '0.2']
Trained 384 at 8895.634517669678 seconds for [10000, 877, 1152] epochs and to a loss of ['0.368', '0.2', '0.2']
Trained 388 at 8914.492000341415 seconds for [10000, 819, 1327] epochs and to a loss of ['0.36', '0.2', '0.2']
Trained 392 at 8933.58861875534 seconds for [10000, 785, 1480] epochs and to a loss of ['0.36', '0.2', '0.2']
Trained 396 at 8952.71226143837 seconds for [10000, 805, 1503] epochs and to a loss of ['0.36', '0.2', '0.2']
Trained 400 at 8971.826575517654 seconds for [10000, 831, 1487] epochs and to a loss of ['0.36', '0.2', '0.2']
Trained 404 at 8990.892617464066 seconds for [10000, 900, 1383] epochs and to a loss of ['0.359', '0.2', '0.2']
Trained 408 at 9009.966811656952 seconds for [10000, 993, 1325] epochs and to a loss of ['0.359', '0.2', '0.2']
Trained 412 at 9029.398573875427 seconds for [10000, 1076, 1418] epochs and to a loss of ['0.359', '0.2', '0.2']
Trained 416 at 9049.056584596634 seconds for [10000, 1124, 1468] epochs and to a loss of ['0.359', '0.2', '0.2']
Trained 420 at 9068.56540632248 seconds for [10000, 1142, 1428] epochs and to a loss of ['0.359', '0.2', '0.2']
Trained 424 at 9088.146974802017 seconds for [10000, 1232, 1377] epochs and to a loss of ['0.359', '0.2', '0.2']
Trained 428 at 9107.672890901566 seconds for [10000, 1318, 1316] epochs and to a loss of ['0.359', '0.2', '0.2']
Trained 432 at 9127.230366706848 seconds for [10000, 1355, 1254] epochs and to a loss of ['0.359', '0.2', '0.2']
Trained 436 at 9146.788559675217 seconds for [10000, 1396, 1205] epochs and to a loss of ['0.359', '0.2', '0.2']
Trained 440 at 9166.153835058212 seconds for [10000, 1372, 1113] epochs and to a loss of ['0.359', '0.2', '0.2']
Trained 444 at 9185.388441324234 seconds for [10000, 1340, 1063] epochs and to a loss of ['0.359', '0.2', '0.2']
Trained 448 at 9204.548236608505 seconds for [10000, 1291, 1028] epochs and to a loss of ['0.359', '0.2', '0.2']
Trained 452 at 9223.451789617538 seconds for [10000, 1215, 954] epochs and to a loss of ['0.359', '0.2', '0.2']
Trained 456 at 9242.064047574997 seconds for [10000, 1129, 838] epochs and to a loss of ['0.358', '0.2', '0.2']
Trained 460 at 9260.597943782806 seconds for [10000, 1101, 861] epochs and to a loss of ['0.351', '0.2', '0.2']
Trained 464 at 9279.36012005806 seconds for [10000, 1164, 873] epochs and to a loss of ['0.352', '0.2', '0.2']
Trained 468 at 9298.250669002533 seconds for [10000, 1328, 867] epochs and to a loss of ['0.352', '0.2', '0.2']
Trained 472 at 9317.33355140686 seconds for [10000, 1406, 907] epochs and to a loss of ['0.353', '0.2', '0.2']
Trained 476 at 9336.482815504074 seconds for [10000, 1410, 973] epochs and to a loss of ['0.353', '0.2', '0.2']
Trained 480 at 9355.966687440872 seconds for [10000, 1411, 1066] epochs and to a loss of ['0.353', '0.2', '0.2']
Trained 484 at 9375.425796985626 seconds for [10000, 1391, 1142] epochs and to a loss of ['0.348', '0.2', '0.2']
Trained 488 at 9394.940045595169 seconds for [10000, 1411, 1155] epochs and to a loss of ['0.35', '0.2', '0.2']
Trained 492 at 9414.431071043015 seconds for [10000, 1405, 1129] epochs and to a loss of ['0.354', '0.2', '0.2']
Trained 496 at 9433.746022701263 seconds for [10000, 1355, 1076] epochs and to a loss of ['0.358', '0.2', '0.2']
Trained 500 at 9452.898398399353 seconds for [10000, 1336, 990] epochs and to a loss of ['0.361', '0.2', '0.2']
Trained 504 at 9471.913657665253 seconds for [10000, 1318, 911] epochs and to a loss of ['0.362', '0.2', '0.2']
Trained 508 at 9490.793768644333 seconds for [10000, 1297, 879] epochs and to a loss of ['0.363', '0.2', '0.2']
Trained 512 at 9509.628034353256 seconds for [10000, 1237, 902] epochs and to a loss of ['0.366', '0.2', '0.2']
Trained 516 at 9528.454545021057 seconds for [10000, 1201, 913] epochs and to a loss of ['0.37', '0.2', '0.2']
Trained 520 at 9547.32530593872 seconds for [10000, 1147, 987] epochs and to a loss of ['0.374', '0.2', '0.2']
Trained 524 at 9566.340825080872 seconds for [10000, 1146, 1050] epochs and to a loss of ['0.374', '0.2', '0.2']
Trained 528 at 9585.35939359665 seconds for [10000, 1191, 1057] epochs and to a loss of ['0.374', '0.2', '0.2']
Trained 532 at 9604.638352632523 seconds for [10000, 1376, 1044] epochs and to a loss of ['0.374', '0.2', '0.2']
Trained 536 at 9624.498116254807 seconds for [10000, 1674, 1062] epochs and to a loss of ['0.375', '0.2', '0.2']
Trained 540 at 9644.797421455383 seconds for [10000, 1925, 1113] epochs and to a loss of ['0.377', '0.2', '0.2']
Trained 544 at 9665.348841190338 seconds for [10000, 1958, 1126] epochs and to a loss of ['0.376', '0.2', '0.2']
Trained 548 at 9685.396554231644 seconds for [10000, 1845, 1150] epochs and to a loss of ['0.375', '0.2', '0.2']
Trained 552 at 9705.359505653381 seconds for [10000, 1800, 1163] epochs and to a loss of ['0.374', '0.2', '0.2']
Trained 556 at 9725.446604251862 seconds for [10000, 1759, 1152] epochs and to a loss of ['0.375', '0.2', '0.2']
Trained 560 at 9745.501783132553 seconds for [10000, 1765, 1144] epochs and to a loss of ['0.377', '0.2', '0.2']
Trained 564 at 9765.648181915283 seconds for [10000, 1777, 1140] epochs and to a loss of ['0.377', '0.2', '0.2']
Trained 568 at 9774.949590206146 seconds for [2924, 1827, 1164] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 572 at 9780.161369800568 seconds for [142, 1872, 1215] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 576 at 9785.583543777466 seconds for [358, 1849, 1241] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 580 at 9791.438320159912 seconds for [659, 1825, 1236] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 584 at 9797.936910867691 seconds for [882, 1996, 1232] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 588 at 9804.382722854614 seconds for [1044, 1989, 1079] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 592 at 9810.766550540924 seconds for [1125, 1882, 1044] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 596 at 9817.357330083847 seconds for [1158, 1700, 1315] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 600 at 9824.203073501587 seconds for [1198, 1467, 1680] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 200 at 9872.078905820847 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.441', '1.166', '0.47']
Trained 204 at 9918.35775089264 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.399', '1.089', '0.411']
Trained 208 at 9964.687659978867 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.39', '1.07', '0.394']
Trained 212 at 10010.659330368042 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.386', '0.791', '0.388']
Trained 216 at 10056.698753118515 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.384', '0.726', '0.38']
Trained 220 at 10102.817878723145 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.38', '0.72', '0.377']
Trained 224 at 10148.89144897461 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.372', '0.717', '0.376']
Trained 228 at 10181.475679397583 seconds for [1194, 10000, 10000] epochs and to a loss of ['0.2', '0.716', '0.375']
Trained 232 at 10212.542640447617 seconds for [224, 10000, 10000] epochs and to a loss of ['0.2', '0.715', '0.375']
Trained 236 at 10243.858211040497 seconds for [339, 10000, 10000] epochs and to a loss of ['0.2', '0.715', '0.375']
Trained 240 at 10275.342764854431 seconds for [442, 10000, 10000] epochs and to a loss of ['0.199', '0.715', '0.375']
Trained 244 at 10307.014993429184 seconds for [545, 10000, 10000] epochs and to a loss of ['0.2', '0.714', '0.348']
Trained 248 at 10324.128050804138 seconds for [689, 10000, 264] epochs and to a loss of ['0.2', '0.714', '0.2']
Trained 252 at 10340.944811582565 seconds for [834, 10000, 119] epochs and to a loss of ['0.2', '0.714', '0.2']
Trained 256 at 10358.132514238358 seconds for [957, 10000, 190] epochs and to a loss of ['0.2', '0.714', '0.2']
Trained 260 at 10375.535825967789 seconds for [1066, 10000, 237] epochs and to a loss of ['0.2', '0.714', '0.2']
Trained 264 at 10393.275957107544 seconds for [1169, 10000, 298] epochs and to a loss of ['0.2', '0.389', '0.2']
Trained 268 at 10411.325367927551 seconds for [1350, 10000, 344] epochs and to a loss of ['0.2', '0.385', '0.2']
Trained 272 at 10429.673776865005 seconds for [1548, 10000, 400] epochs and to a loss of ['0.2', '0.385', '0.2']
Trained 276 at 10448.369485378265 seconds for [1728, 10000, 465] epochs and to a loss of ['0.2', '0.384', '0.2']
Trained 280 at 10467.420723199844 seconds for [1841, 10000, 504] epochs and to a loss of ['0.2', '0.377', '0.2']
Trained 284 at 10486.562077999115 seconds for [1882, 10000, 552] epochs and to a loss of ['0.2', '0.377', '0.2']
Trained 288 at 10505.69378209114 seconds for [1852, 10000, 599] epochs and to a loss of ['0.2', '0.377', '0.2']
Trained 292 at 10524.85709118843 seconds for [1793, 10000, 668] epochs and to a loss of ['0.2', '0.377', '0.2']
Trained 296 at 10544.064791679382 seconds for [1695, 10000, 769] epochs and to a loss of ['0.2', '0.378', '0.2']
Trained 300 at 10563.408264636993 seconds for [1555, 10000, 919] epochs and to a loss of ['0.2', '0.378', '0.2']
Trained 304 at 10582.568842887878 seconds for [1378, 10000, 1060] epochs and to a loss of ['0.2', '0.378', '0.2']
Trained 308 at 10601.698573350906 seconds for [1220, 10000, 1168] epochs and to a loss of ['0.2', '0.378', '0.2']
Trained 312 at 10620.637394189835 seconds for [1065, 10000, 1263] epochs and to a loss of ['0.2', '0.377', '0.2']
Trained 316 at 10639.512393712997 seconds for [959, 10000, 1324] epochs and to a loss of ['0.2', '0.377', '0.2']
Trained 320 at 10658.462666034698 seconds for [911, 10000, 1353] epochs and to a loss of ['0.2', '0.377', '0.2']
Trained 324 at 10677.216819763184 seconds for [847, 10000, 1338] epochs and to a loss of ['0.2', '0.375', '0.2']
Trained 328 at 10695.76745057106 seconds for [772, 10000, 1289] epochs and to a loss of ['0.2', '0.368', '0.2']
Trained 332 at 10714.212574243546 seconds for [717, 10000, 1198] epochs and to a loss of ['0.2', '0.369', '0.2']
Trained 336 at 10732.301580429077 seconds for [721, 10000, 1041] epochs and to a loss of ['0.2', '0.368', '0.2']
Trained 340 at 10750.384466171265 seconds for [711, 10000, 1016] epochs and to a loss of ['0.2', '0.368', '0.2']
Trained 344 at 10768.308118343353 seconds for [662, 10000, 1002] epochs and to a loss of ['0.2', '0.368', '0.2']
Trained 348 at 10786.08529496193 seconds for [601, 10000, 966] epochs and to a loss of ['0.2', '0.368', '0.2']
Trained 352 at 10803.687776088715 seconds for [543, 10000, 908] epochs and to a loss of ['0.2', '0.368', '0.2']
Trained 356 at 10821.149023532867 seconds for [530, 10000, 865] epochs and to a loss of ['0.2', '0.368', '0.2']
Trained 360 at 10838.653239250183 seconds for [522, 10000, 840] epochs and to a loss of ['0.2', '0.369', '0.2']
Trained 364 at 10856.098765850067 seconds for [507, 10000, 799] epochs and to a loss of ['0.2', '0.37', '0.2']
Trained 368 at 10873.44977235794 seconds for [497, 10000, 766] epochs and to a loss of ['0.2', '0.371', '0.2']
Trained 372 at 10890.719895601273 seconds for [502, 10000, 716] epochs and to a loss of ['0.2', '0.37', '0.2']
Trained 376 at 10907.928678512573 seconds for [510, 10000, 678] epochs and to a loss of ['0.2', '0.365', '0.2']
Trained 380 at 10925.163509607315 seconds for [543, 10000, 645] epochs and to a loss of ['0.2', '0.366', '0.2']
Trained 384 at 10942.383827447891 seconds for [612, 10000, 593] epochs and to a loss of ['0.2', '0.366', '0.2']
Trained 388 at 10959.715363740921 seconds for [642, 10000, 573] epochs and to a loss of ['0.2', '0.367', '0.2']
Trained 392 at 10976.916942358017 seconds for [600, 10000, 560] epochs and to a loss of ['0.2', '0.367', '0.2']
Trained 396 at 10994.149214744568 seconds for [628, 10000, 553] epochs and to a loss of ['0.2', '0.369', '0.2']
Trained 400 at 11011.421847343445 seconds for [666, 10000, 563] epochs and to a loss of ['0.2', '0.371', '0.2']
Trained 404 at 11028.824467658997 seconds for [683, 10000, 594] epochs and to a loss of ['0.2', '0.373', '0.2']
Trained 408 at 11046.310236692429 seconds for [702, 10000, 679] epochs and to a loss of ['0.2', '0.376', '0.2']
Trained 412 at 11064.14001584053 seconds for [733, 10000, 792] epochs and to a loss of ['0.2', '0.378', '0.2']
Trained 416 at 11082.07470035553 seconds for [767, 10000, 852] epochs and to a loss of ['0.2', '0.377', '0.2']
Trained 420 at 11099.948179721832 seconds for [770, 10000, 817] epochs and to a loss of ['0.2', '0.378', '0.2']
Trained 424 at 11115.514385700226 seconds for [838, 8398, 771] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 428 at 11118.40218782425 seconds for [900, 226, 719] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 432 at 11121.597463846207 seconds for [1004, 377, 666] epochs and to a loss of ['0.2', '0.199', '0.2']
Trained 436 at 11125.344772100449 seconds for [1078, 654, 644] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 440 at 11130.621727705002 seconds for [1108, 1599, 652] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 444 at 11136.501494169235 seconds for [1120, 1962, 666] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 448 at 11142.11854505539 seconds for [1165, 1706, 659] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 452 at 11147.418053388596 seconds for [1208, 1414, 762] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 456 at 11152.44999408722 seconds for [1260, 1146, 795] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 460 at 11157.303436756134 seconds for [1257, 992, 813] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 464 at 11162.125992774963 seconds for [1340, 906, 819] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 468 at 11166.954138994217 seconds for [1368, 842, 868] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 472 at 11171.886030435562 seconds for [1419, 809, 916] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 476 at 11176.754246711731 seconds for [1410, 764, 905] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 480 at 11181.47464632988 seconds for [1405, 705, 883] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 484 at 11185.992994070053 seconds for [1362, 654, 860] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 488 at 11190.445048809052 seconds for [1280, 606, 956] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 492 at 11194.923182725906 seconds for [1181, 575, 1080] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 496 at 11199.248089551926 seconds for [1057, 564, 1140] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 500 at 11203.393338441849 seconds for [950, 566, 1138] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 504 at 11207.265733003616 seconds for [836, 547, 1105] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 508 at 11210.946470975876 seconds for [766, 565, 1031] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 512 at 11214.362033605576 seconds for [678, 573, 907] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 516 at 11217.623625516891 seconds for [621, 608, 829] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 520 at 11220.964921236038 seconds for [577, 753, 793] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 524 at 11224.756464481354 seconds for [592, 1059, 764] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 528 at 11228.846582889557 seconds for [606, 1251, 742] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 532 at 11232.90551161766 seconds for [621, 1309, 659] epochs and to a loss of ['0.2', '0.2', '0.2']
